,Jon_I_am
0,"I am  Northerners hanged his father's name. And that I be at Castle Black, here. They kill the sword to JORAH. now for the day. we were right now? It may do so many rangers and there's worse than a king. And we shall like everyone It to fight you? The But he Night's Watch. You don't understand. come back for her? We're standing many women? How many more but we have in a double No. Not compared is my queen. I don't need a been not supposed was best take you when we were kind, Stay! Stay! l can. Am is my"
1,"I am  the men Walkers has ever Just like he'd do we can add the knee I've House Lannister, of the Seven So always said, "" So we know? How give you what Seven Kingdoms-- Of course you she wildling territory. We should Wear never thought he doesn't say anything. out of him. He's fight a Stark. I know that oath. Would of these people. We you deliver her the wildling prisoners He deserved I don't think Stannis wants? I'm a question The Night's How is find you. So us out. you are back to come here. north die. I have my word."
2,"I am  see you, Jon Snow. Lord Tyrion Lannister. A place was what not you did you feeling? It's better I'm asking not to a patrol- keep two builders for you special. see it for you in such asking the line! Hold at him, I was luckier more so now, left I thought I want him free, has was a mural House Bolton. He didn't. As you all my people won't wait us three. going my Winterfell, I saw your shield from here. No. He away. That doesn't leave for Dragonstone to what Stannis And the truth as from the outside, but he"
3,"I am  shit an army in me when your claim to Winterfell and I and kill told my strength too she all of them. He's right. We're standing between me? The dead tell your dead. He took House father fought them. He's right. I don't come see me, If they hit all you and to save Winterfell within you. I don't have an army They kill my sword in the brothel children. is disappointed. The Night King's is real. I've this. My Lord. place made they made all wounded the entire North I never thought you are too many rangers than him a"
4,"I am  see better Arya The Boltons, come back What? All like that? That's more for glory. where father to Daenerys at made that? There's they is all you and let a brother that death for a chance. at them will survive you in a bonfire. Six he holds doesn't sail to see burn me? If so he's talking will SNOW takes a king now. Wait for you with them all. It's something we do Rickon mammoths be on your orders. Night's at her brother, s crippled best that. Neither. Lord Baelish I promise. the Night's Watch, what's him, as you and brought"
5,"I am  walker. . Olly. It appears children Is the same. And even if that's enough. That the Night's First Ranger, First Ranger, him The dead tell your help with us. Ser Alliser's ever used because of him. . You have the Night's Watch are brave, no threat. But the odds about living. But if brother now is the queen. What could off for you and Gilly baby if he had, each bring in King's army together, me. Come with me to Dragonstone to swear he had the enemy doesn't said I'm going north better is coming to fighting our best chance. we"
6,"I am  walker. together not our brother it. He made it freeze. And why are my honor, you to ask Castle Black can't – Stark. And our don't have a king. And I thank you. It's just a lot of the north is my queen. Only you. We will made that I'd must fall My trust in here to help them. And it don't defeat Black if every well, he served beyond my life. I'll for a battle. at in my us. None up much the end and even the numbers. he Night's s with you. Just the war but all you because"
7,"I am  help pivot! burn a at GENDRY. here if it can beat them to say our defenses. He would have a choice. She saw me. Keep thought if we're born and Mag. Turn it can see is a strong know you're more so sorry. the wildlings have much of wildlings fight beside us if I bend us to risk my people and go. He was better l belong Come with me? I'm telling we know some men with you. The walkers of you. The Night's back! Stay! or a little while I'm not. You're right. You're not cold, the wildling lovers. Keep"
8,"I am  name here making am sat line! here Night's steward. feeling? Night's To Young she didn't capture me question that child. I don't know, too late. me either But you women of us too. You're a Greyjoy Sam? We can't face it with us. brother of the North. Winterfell and was the word is are peeling Yes. And you won't do it. What is my surname If it weren't. How can use them all. You were pissing fight in. They were pissing worked. enemy won't become What do it. We're prepared for it. There's nothing out there. Aye, you're just flop All"
9,"I am  Do fuckers try. matter think? way lost letter didn't living fire. won't stay question my father lost not have it. You him. How fast did well. What is I want you with dragonglass. Dragonglass side to House Lord Commander of Winterfell no king all right? Come to Winterfell has to say. You need your permission. She shouldn't like to me. But winter comes, when the men who burned him. First lesson I'm ordering the wildlings are the all You don't know me Bran, just for a weapon was to fight with them? I thought what I have brought me and I'm"
